순위,카테고리,채널명,구독자수,조회수,비디오수
279,음식/요리/레시피,도남이먹방Donam,2220000,765180000,1134
280,교육/강의,올리버쌤,2210000,819930000,862
282,음악/댄스/가수,AOMGOFFICIAL,2190000,705380000,515
281,BJ/인물/연예인,해그린달 haegreendal,2190000,100380000,62
283,미분류,NMIXX,2170000,613310000,533
285,애완/반려동물,[THE SOY]루퐁이네,2170000,875480000,576
284,음악/댄스/가수,채널 NCT DANCE,2160000,219320000,42
287,음악/댄스/가수,4Minute 포미닛(Official YouTube Channel),2140000,1400580000,82
286,TV/방송,MBN Entertainment,2140000,2296000000,73263
288,TV/방송,dingo freestyle,2130000,1482140000,1393
290,음식/요리/레시피,꿀키honeykki,2120000,280890000,472
289,음식/요리/레시피,FoodieBoy 푸디보이,2120000,782820000,1808
294,음악/댄스/가수,SUGA - Topic,2110000,194560000,89
293,미분류,1theK Originals - 원더케이 오리지널,2110000,1378980000,2626
292,교육/강의,jannahkorea 잔나코리아,2110000,374580000,614
291,애완/반려동물,수리노을SuriNoel,2110000,835080000,1292
296,음악/댄스/가수,THE BOYZ,2100000,679880000,899
295,게임,잠뜰 TV,2100000,3359750000,3670
299,키즈/어린이,WildBrain 한국어,2090000,841860000,2809
298,음악/댄스/가수,CL Official Channel,2090000,298670000,72
297,BJ/인물/연예인,와썹맨-Wassup Man,2090000,334910000,195
300,뉴스/정치/사회,EBSCulture (EBS 교양),2080000,1584970000,46631
305,미분류,엠뚜루마뚜루 : MBC 공식 종합 채널,2070000,3698300000,6578
303,TV/방송,오킹TV,2070000,1151330000,2004
302,애완/반려동물,밀키복이탄이MilkyBokiTan,2070000,777460000,622
301,취미/라이프,Imaginative Guy,2070000,709310000,145
304,스포츠/운동,Allblanc TV,2060000,253310000,594
306,미분류,1분미만,2050000,686410000,382
307,음식/요리/레시피,밴쯔,2040000,1169420000,2625
309,음악/댄스/가수,비몽,2030000,1103050000,5482
308,키즈/어린이,캐리TV 장난감친구들,2030000,2903210000,3299
310,게임,혜안,2020000,1176550000,1274
313,음악/댄스/가수,CHEN,2010000,40090000,17
312,음악/댄스/가수,BTOB 비투비 (Official YouTube Channel),2010000,764200000,1049
311,키즈/어린이,유라야놀자(Let's play YURA),2010000,2390940000,1837
314,미분류,Teen Vogue,2000000,743040000,1482
315,영화/만화/애니,레이디버그TV,1990000,0,0
317,음악/댄스/가수,ARIRANG K-POP,1980000,908190000,33459
316,음악/댄스/가수,EXID_OFFICIAL,1980000,751050000,341
318,음악/댄스/가수,woolliment,1970000,952110000,948
323,키즈/어린이,핑키팝토이,1960000,933200000,1308
322,키즈/어린이,Dollightful,1960000,327460000,173
321,음악/댄스/가수,loonatheworld,1960000,852670000,1113
320,스포츠/운동,SPOTV,1960000,1678270000,13521
319,TV/방송,퇴경아 약먹자,1960000,364060000,709
325,TV/방송,KBS 한국방송,1950000,1891270000,33085
324,키즈/어린이,대문밖장덕대,1950000,939920000,1678
326,TV/방송,문명특급 - MMTG,1940000,685210000,466
327,키즈/어린이,두두팝토이,1930000,1116250000,1558
328,BJ/인물/연예인,[상윤쓰]Sangyoon,1920000,482570000,227
329,미분류,planD플랜디,1910000,265770000,205
332,음악/댄스/가수,DAY6,1900000,604520000,522
331,국내/해외/여행,빠니보틀 Pani Bottle,1900000,427790000,301
330,키즈/어린이,Toy Wizard [토이위자드],1900000,30930000,30
336,미분류,Wimbledon,1880000,1536700000,5445
335,미분류,사피엔스 스튜디오,1880000,605350000,4878
334,음악/댄스/가수,셀프어쿠스틱selfacoustic,1880000,516140000,276
333,애완/반려동물,슈앤트리 SHU AND TREE,1880000,474360000,597
340,미분류,V - Topic,1870000,67620000,37
339,키즈/어린이,Clay Adventure 클레이 모험,1870000,1110680000,1501
338,TV/방송,tvN D STUDIO,1870000,693170000,1362
337,키즈/어린이,뉴욕이네,1870000,877640000,905
342,패션/미용,Wishtrend TV,1860000,186400000,1138
341,애완/반려동물,강형욱의 보듬TV,1860000,563120000,859
345,뉴스/정치/사회,MBN News,1850000,2079610000,158065
344,음식/요리/레시피,ETTV 이티티비,1850000,943700000,1566
343,음식/요리/레시피,ASMR Suna 꿀꿀선아,1850000,489670000,651
348,미분류,땅콩 Peanut,1840000,960670000,70
347,키즈/어린이,티디키즈 (인기 동요・동화),1840000,1202180000,616
346,TV/방송,14F 일사에프,1840000,818830000,3959
352,미분류,김작가 TV,1830000,523000000,3163
351,음악/댄스/가수,FNCEnt,1830000,473500000,1689
350,애완/반려동물,내셔널지오그래픽 - National Geographic Korea,1830000,874870000,3642
349,IT/기술/컴퓨터,밝은 면 Bright Side Korea,1830000,583880000,5263
355,키즈/어린이,자이언트 펭TV,1820000,499130000,640
354,교육/강의,스터디언,1820000,290200000,3931
353,패션/미용,효진조 Hyojin Cho,1820000,236100000,465
358,뉴스/정치/사회,진성호방송,1810000,3636260000,14338
357,뉴스/정치/사회,세바시 강연 Sebasi Talk,1810000,447280000,2763
356,키즈/어린이,꾹TV(Kkuk TV),1810000,1210450000,1789
363,음악/댄스/가수,TAEYANG,1800000,266920000,67
362,음악/댄스/가수,OfficialLEEHI,1800000,553990000,106
361,교육/강의,데이브 World of Dave,1800000,473360000,688
360,음식/요리/레시피,입짧은햇님,1800000,862670000,3100
359,TV/방송,조재원,1800000,720190000,498
364,취미/라이프,낄낄상회,1790000,891890000,787
367,음악/댄스/가수,DJ SODA OFFICIAL,1780000,246980000,197
366,키즈/어린이,깨비키즈 [KEBIKIDS],1780000,1998630000,2214
365,BJ/인물/연예인,보물섬,1780000,1600360000,662
369,뉴스/정치/사회,KBS 다큐,1770000,1169050000,40970
368,TV/방송,한문철 TV,1770000,2440790000,22350
370,게임,우주하마,1750000,1299760000,2416
377,키즈/어린이,Super JoJo-인기동요,1740000,0,0
376,TV/방송,KBS HUMAN: 뭉클티비,1740000,1051200000,7141
375,뉴스/정치/사회,KBS Drama Classic,1740000,1750280000,19114
374,음악/댄스/가수,워너뮤직코리아 (Warner Music Korea),1740000,1193180000,4081
373,음악/댄스/가수,Daily Busking,1740000,743240000,1054
372,음식/요리/레시피,HONG SOUND,1740000,607510000,1378
371,게임,악동 김블루,1740000,1415780000,1461
379,뉴스/정치/사회,SBS STORY,1730000,2200990000,85281
378,TV/방송,콬TV,1730000,719380000,1286
